,tag,new_tag
3124,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,"('OtherStockHoldersEquity', 3)"
3125,SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueNonvested,"('OtherStockHoldersEquity', 3)"
3126,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,"('OtherStockHoldersEquity', 3)"
3127,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,"('OtherStockHoldersEquity', 3)"
3128,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,"('OtherStockHoldersEquity', 3)"
3129,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,"('OtherStockHoldersEquity', 3)"
3130,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,"('OtherStockHoldersEquity', 3)"
3131,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,"('OtherStockHoldersEquity', 3)"
3132,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,"('OtherStockHoldersEquity', 3)"
3133,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,"('OtherStockHoldersEquity', 3)"
3134,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,"('OtherStockHoldersEquity', 3)"
3135,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,"('OtherStockHoldersEquity', 3)"
3136,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue,"('OtherStockHoldersEquity', 3)"
3137,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue,"('OtherStockHoldersEquity', 3)"
3138,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue,"('OtherStockHoldersEquity', 3)"
3139,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,"('OtherStockHoldersEquity', 3)"
3140,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,"('OtherStockHoldersEquity', 3)"
3141,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,"('OtherStockHoldersEquity', 3)"
3142,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,"('OtherStockHoldersEquity', 3)"
3143,DefinedContributionPlanContributionRatesAsPercentageOfEmployeesEarnings,"('EarningsBeforeInterestAndTaxes', 2)"
3144,RevenueRecognitionMultipleDeliverableArrangementsDecreaseInSellingPriceAmount,"('CostsSellingAndAdministrativeExpenses', 2)"
3145,DefinedContributionPlanEmployerMatchingContributionPercent,"('NetIncomeApplicableToCommonShare', 0)"
3146,OperatingIncomeLoss,"('OperatingIncomeLoss', 10)"
3147,OperatingIncomeLoss,"('OperatingIncomeLoss', 10)"
3148,OperatingIncomeLoss,"('OperatingIncomeLoss', 10)"
3149,SalesRevenueNet,"('TotalCostOfRevenueAndOperatingExpenses', 2)"
3150,SalesRevenueNet,"('TotalCostOfRevenueAndOperatingExpenses', 2)"
3151,SalesRevenueNet,"('TotalCostOfRevenueAndOperatingExpenses', 2)"
3152,SalesRevenueNet,"('TotalCostOfRevenueAndOperatingExpenses', 2)"
3153,SalesRevenueNet,"('TotalCostOfRevenueAndOperatingExpenses', 2)"
3154,SalesRevenueNet,"('TotalCostOfRevenueAndOperatingExpenses', 2)"
3155,DebtInstrumentFaceAmount,"('TotalCurrentLongTermDebt', 2)"
3156,DebtInstrumentInterestRateEffectivePercentageRateRangeMinimum,"('OtherMinorityInterest', 2)"
3157,DebtInstrumentInterestRateEffectivePercentageRateRangeMinimum,"('OtherMinorityInterest', 2)"
3158,DebtInstrumentInterestRateEffectivePercentageRateRangeMaximum,"('OtherMinorityInterest', 2)"
